COD_PROC_URG|CPCU_CENTRO_CODIGO|CPCU_ACTIVO
10.2|002083|0
10.21|002083|0
10.29|002083|0
10.3|002083|0
10.31|002083|0
10.32|002083|0
10.33|002083|0
10.4|002083|0
10.41|002083|0
10.42|002083|0
10.43|002083|0
10.44|002083|0
10.49|002083|0
10.5|002083|0
10.6|002083|0
10.9|002083|0
10.91|002083|0
10.99|002083|0
11|002083|0
11.0|002083|0
11.1|002083|0
11.2|002083|0
11.21|002083|0
11.22|002083|0
11.29|002083|0
11.3|002083|0
11.31|002083|0
11.32|002083|0
11.39|002083|0
11.4|002083|0
11.41|002083|0
11.42|002083|0
11.43|002083|0
11.49|002083|0
11.5|002083|0
11.51|002083|0
11.52|002083|0
11.53|002083|0
11.59|002083|0
11.6|002083|0
11.60|002083|0
11.61|002083|0
11.62|002083|0
11.63|002083|0
11.64|002083|0
11.69|002083|0
11.7|002083|0
11.71|002083|0
11.72|002083|0
11.73|002083|0
11.74|002083|0
11.75|002083|0
11.76|002083|0
11.79|002083|0
11.9|002083|0
11.91|002083|0
11.92|002083|0
11.99|002083|0
12|002083|0
12.0|002083|0
12.00|002083|0
12.01|002083|0
12.02|002083|0
12.1|002083|0
12.11|002083|0
12.12|002083|0
12.13|002083|0
12.14|002083|0
12.2|002083|0
12.21|002083|0
12.22|002083|0
12.29|002083|0
12.3|002083|0
12.31|002083|0
12.32|002083|0
12.33|002083|0
12.34|002083|0
12.35|002083|0
12.39|002083|0
12.4|002083|0
12.40|002083|0
12.41|002083|0
12.42|002083|0
12.43|002083|0
12.44|002083|0
12.5|002083|0
12.51|002083|0
12.52|002083|0
12.53|002083|0
12.54|002083|0
12.55|002083|0
12.59|002083|0
12.6|002083|0
12.61|002083|0
12.62|002083|0
12.63|002083|0
12.64|002083|0
12.65|002083|0
12.66|002083|0
12.69|002083|0
12.7|002083|0
12.71|002083|0
12.72|002083|0
12.73|002083|0
12.74|002083|0
12.79|002083|0
12.8|002083|0
12.81|002083|0
12.82|002083|0
12.83|002083|0
12.84|002083|0
12.85|002083|0
12.86|002083|0
12.87|002083|0
12.88|002083|0
12.89|002083|0
12.9|002083|0
12.91|002083|0
12.92|002083|0
12.93|002083|0
12.97|002083|0
12.98|002083|0
12.99|002083|0
13|002083|0
13.0|002083|0
13.00|002083|0
13.01|002083|0
13.02|002083|0
13.1|002083|0
13.11|002083|0
13.19|002083|0
13.2|002083|0
13.3|002083|0
